上海电信,#genre#
CETV1,http://123.114.30.36:4000/rtp/239.3.1.57:8152
CETV1,http://114.243.99.254:8888/rtp/239.3.1.57:8152
CETV1,http://111.196.130.39:8686/rtp/239.3.1.57:8152
CETV1,http://111.196.134.175:20000/rtp/239.3.1.57:8152
CETV2,http://114.254.190.44:8099/rtp/239.3.1.54:4120
CETV2,http://123.114.30.36:4000/rtp/239.3.1.54:4120
CETV2,http://114.243.99.254:8888/rtp/239.3.1.54:4120
CETV2,http://111.196.130.39:8686/rtp/239.3.1.54:4120
CETV2,http://111.196.134.175:20000/rtp/239.3.1.54:4120
CETV4,http://114.254.190.44:8099/rtp/239.3.1.56:4120
CETV4,http://123.114.30.36:4000/rtp/239.3.1.56:4120
CETV4,http://114.243.99.254:8888/rtp/239.3.1.56:4120
CETV4,http://111.196.130.39:8686/rtp/239.3.1.56:4120
CETV4,http://111.196.134.175:20000/rtp/239.3.1.56:4120
CGTN,http://114.254.190.44:8099/rtp/239.3.1.215:4220
CGTN,http://123.114.30.36:4000/rtp/239.3.1.215:4220
CGTN,http://114.243.99.254:8888/rtp/239.3.1.215:4220
CGTN,http://111.196.130.39:8686/rtp/239.3.1.215:4220
CGTN,http://111.196.134.175:20000/rtp/239.3.1.215:4220
CGTN俄语,http://114.254.190.44:8099/rtp/239.3.1.220:4220
CGTN俄语,http://123.114.30.36:4000/rtp/239.3.1.220:4220
CGTN俄语,http://114.243.99.254:8888/rtp/239.3.1.220:4220
CGTN俄语,http://111.196.130.39:8686/rtp/239.3.1.220:4220
CGTN俄语,http://111.196.134.175:20000/rtp/239.3.1.220:4220
CGTN法语,http://114.254.190.44:8099/rtp/239.3.1.218:4220
CGTN法语,http://123.114.30.36:4000/rtp/239.3.1.218:4220
CGTN法语,http://114.243.99.254:8888/rtp/239.3.1.218:4220
CGTN法语,http://111.196.130.39:8686/rtp/239.3.1.218:4220
CGTN法语,http://111.196.134.175:20000/rtp/239.3.1.218:4220
CGTN纪录,http://114.254.190.44:8099/rtp/239.3.1.216:4220
CGTN纪录,http://123.114.30.36:4000/rtp/239.3.1.216:4220
CGTN纪录,http://114.243.99.254:8888/rtp/239.3.1.216:4220
CGTN纪录,http://111.196.130.39:8686/rtp/239.3.1.216:4220
CGTN纪录,http://111.196.134.175:20000/rtp/239.3.1.216:4220
CGTN西语,http://114.254.190.44:8099/rtp/239.3.1.217:4220
CGTN西语,http://123.114.30.36:4000/rtp/239.3.1.217:4220
CGTN西语,http://114.243.99.254:8888/rtp/239.3.1.217:4220
CGTN西语,http://111.196.130.39:8686/rtp/239.3.1.217:4220
CGTN西语,http://111.196.134.175:20000/rtp/239.3.1.217:4220
CGTN阿语,http://114.254.190.44:8099/rtp/239.3.1.219:4220
CGTN阿语,http://123.114.30.36:4000/rtp/239.3.1.219:4220
CGTN阿语,http://114.243.99.254:8888/rtp/239.3.1.219:4220
CGTN阿语,http://111.196.130.39:8686/rtp/239.3.1.219:4220
CGTN阿语,http://111.196.134.175:20000/rtp/239.3.1.219:4220
IPTV光影,http://114.254.190.44:8099/rtp/239.3.1.84:4120
IPTV光影,http://123.114.30.36:4000/rtp/239.3.1.84:4120
IPTV光影,http://114.243.99.254:8888/rtp/239.3.1.84:4120
IPTV光影,http://111.196.130.39:8686/rtp/239.3.1.84:4120
IPTV光影,http://111.196.134.175:20000/rtp/239.3.1.84:4120
IPTV军事,http://114.254.190.44:8099/rtp/239.3.1.76:4120
IPTV军事,http://123.114.30.36:4000/rtp/239.3.1.76:4120
IPTV军事,http://114.243.99.254:8888/rtp/239.3.1.76:4120
IPTV军事,http://111.196.130.39:8686/rtp/239.3.1.76:4120
IPTV军事,http://111.196.134.175:20000/rtp/239.3.1.76:4120
IPTV军旅剧场,http://114.254.190.44:8099/rtp/239.3.1.69:4120
IPTV军旅剧场,http://114.254.190.44:8099/rtp/239.3.1.68:4120
IPTV军旅剧场,http://123.114.30.36:4000/rtp/239.3.1.69:4120
IPTV军旅剧场,http://123.114.30.36:4000/rtp/239.3.1.68:4120
IPTV军旅剧场,http://114.243.99.254:8888/rtp/239.3.1.69:4120
IPTV军旅剧场,http://114.243.99.254:8888/rtp/239.3.1.68:4120
IPTV军旅剧场,http://111.196.130.39:8686/rtp/239.3.1.69:4120
IPTV军旅剧场,http://111.196.130.39:8686/rtp/239.3.1.68:4120
IPTV军旅剧场,http://111.196.134.175:20000/rtp/239.3.1.69:4120
IPTV军旅剧场,http://111.196.134.175:20000/rtp/239.3.1.68:4120
IPTV动作影院,http://114.254.190.44:8099/rtp/239.3.1.92:4120
IPTV动作影院,http://123.114.30.36:4000/rtp/239.3.1.92:4120
IPTV动作影院,http://114.243.99.254:8888/rtp/239.3.1.92:4120
IPTV动作影院,http://111.196.130.39:8686/rtp/239.3.1.92:4120
IPTV动作影院,http://111.196.134.175:20000/rtp/239.3.1.92:4120
IPTV动画,http://114.254.190.44:8099/rtp/239.3.1.80:4120
IPTV动画,http://123.114.30.36:4000/rtp/239.3.1.80:4120
IPTV动画,http://114.243.99.254:8888/rtp/239.3.1.80:4120
IPTV动画,http://111.196.130.39:8686/rtp/239.3.1.80:4120
IPTV动画,http://111.196.134.175:20000/rtp/239.3.1.80:4120
IPTV喜剧剧场,http://114.254.190.44:8099/rtp/239.3.1.91:4120
IPTV喜剧剧场,http://123.114.30.36:4000/rtp/239.3.1.91:4120
IPTV喜剧剧场,http://114.243.99.254:8888/rtp/239.3.1.91:4120
IPTV喜剧剧场,http://111.196.130.39:8686/rtp/239.3.1.91:4120
IPTV喜剧剧场,http://111.196.134.175:20000/rtp/239.3.1.91:4120
IPTV国学,http://114.254.190.44:8099/rtp/239.3.1.77:4120
IPTV国学,http://123.114.30.36:4000/rtp/239.3.1.77:4120
IPTV国学,http://114.243.99.254:8888/rtp/239.3.1.77:4120
IPTV国学,http://111.196.130.39:8686/rtp/239.3.1.77:4120
IPTV国学,http://111.196.134.175:20000/rtp/239.3.1.77:4120
IPTV地理,http://114.254.190.44:8099/rtp/239.3.1.71:4120
IPTV地理,http://123.114.30.36:4000/rtp/239.3.1.71:4120
IPTV地理,http://114.243.99.254:8888/rtp/239.3.1.71:4120
IPTV地理,http://111.196.130.39:8686/rtp/239.3.1.71:4120
IPTV地理,http://111.196.134.175:20000/rtp/239.3.1.71:4120
IPTV墨宝,http://114.254.190.44:8099/rtp/239.3.1.83:4120
IPTV墨宝,http://123.114.30.36:4000/rtp/239.3.1.83:4120
IPTV墨宝,http://114.243.99.254:8888/rtp/239.3.1.83:4120
IPTV墨宝,http://111.196.130.39:8686/rtp/239.3.1.83:4120
IPTV墨宝,http://111.196.134.175:20000/rtp/239.3.1.83:4120
IPTV好学生,http://114.254.190.44:8099/rtp/239.3.1.81:4120
IPTV好学生,http://123.114.30.36:4000/rtp/239.3.1.81:4120
IPTV好学生,http://114.243.99.254:8888/rtp/239.3.1.81:4120
IPTV好学生,http://111.196.130.39:8686/rtp/239.3.1.81:4120
IPTV好学生,http://111.196.134.175:20000/rtp/239.3.1.81:4120
IPTV家庭影院,http://114.254.190.44:8099/rtp/239.3.1.93:4120
IPTV家庭影院,http://123.114.30.36:4000/rtp/239.3.1.93:4120
IPTV家庭影院,http://114.243.99.254:8888/rtp/239.3.1.93:4120
IPTV家庭影院,http://111.196.130.39:8686/rtp/239.3.1.93:4120
IPTV家庭影院,http://111.196.134.175:20000/rtp/239.3.1.93:4120
IPTV少儿动画,http://114.254.190.44:8099/rtp/239.3.1.199:9000
IPTV少儿动画,http://123.114.30.36:4000/rtp/239.3.1.199:9000
IPTV少儿动画,http://114.243.99.254:8888/rtp/239.3.1.199:9000
IPTV少儿动画,http://111.196.130.39:8686/rtp/239.3.1.199:9000
IPTV少儿动画,http://111.196.134.175:20000/rtp/239.3.1.199:9000
IPTV影视,http://114.254.190.44:8099/rtp/239.3.1.88:4120
IPTV影视,http://123.114.30.36:4000/rtp/239.3.1.88:4120
IPTV影视,http://114.243.99.254:8888/rtp/239.3.1.88:4120
IPTV影视,http://111.196.130.39:8686/rtp/239.3.1.88:4120
IPTV影视,http://111.196.134.175:20000/rtp/239.3.1.88:4120
IPTV戏曲,http://114.254.190.44:8099/rtp/239.3.1.78:4120
IPTV戏曲,http://123.114.30.36:4000/rtp/239.3.1.78:4120
IPTV戏曲,http://114.243.99.254:8888/rtp/239.3.1.78:4120
IPTV戏曲,http://111.196.130.39:8686/rtp/239.3.1.78:4120
IPTV戏曲,http://111.196.134.175:20000/rtp/239.3.1.78:4120
IPTV早教,http://114.254.190.44:8099/rtp/239.3.1.79:4120
IPTV早教,http://123.114.30.36:4000/rtp/239.3.1.79:4120
IPTV早教,http://114.243.99.254:8888/rtp/239.3.1.79:4120
IPTV早教,http://111.196.130.39:8686/rtp/239.3.1.79:4120
IPTV早教,http://111.196.134.175:20000/rtp/239.3.1.79:4120
IPTV星影,http://114.254.190.44:8099/rtp/239.3.1.94:4120
IPTV星影,http://123.114.30.36:4000/rtp/239.3.1.94:4120
IPTV星影,http://114.243.99.254:8888/rtp/239.3.1.94:4120
IPTV星影,http://111.196.130.39:8686/rtp/239.3.1.94:4120
IPTV星影,http://111.196.134.175:20000/rtp/239.3.1.94:4120
IPTV武侠剧场,http://114.254.190.44:8099/rtp/239.3.1.90:4120
IPTV武侠剧场,http://123.114.30.36:4000/rtp/239.3.1.90:4120
IPTV武侠剧场,http://114.243.99.254:8888/rtp/239.3.1.90:4120
IPTV武侠剧场,http://111.196.130.39:8686/rtp/239.3.1.90:4120
IPTV武侠剧场,http://111.196.134.175:20000/rtp/239.3.1.90:4120
IPTV武术,http://114.254.190.44:8099/rtp/239.3.1.87:4120
IPTV武术,http://123.114.30.36:4000/rtp/239.3.1.87:4120
IPTV武术,http://114.243.99.254:8888/rtp/239.3.1.87:4120
IPTV武术,http://111.196.130.39:8686/rtp/239.3.1.87:4120
IPTV武术,http://111.196.134.175:20000/rtp/239.3.1.87:4120
IPTV热播剧场,http://114.254.190.44:8099/rtp/239.3.1.194:9020
IPTV热播剧场,http://123.114.30.36:4000/rtp/239.3.1.194:9020
IPTV热播剧场,http://114.243.99.254:8888/rtp/239.3.1.194:9020
IPTV热播剧场,http://111.196.130.39:8686/rtp/239.3.1.194:9020
IPTV热播剧场,http://111.196.134.175:20000/rtp/239.3.1.194:9020
IPTV精选,http://114.254.190.44:8099/rtp/239.3.1.74:4120
IPTV精选,http://123.114.30.36:4000/rtp/239.3.1.74:4120
IPTV精选,http://114.243.99.254:8888/rtp/239.3.1.74:4120
IPTV精选,http://111.196.130.39:8686/rtp/239.3.1.74:4120
IPTV精选,http://111.196.134.175:20000/rtp/239.3.1.74:4120
IPTV经典电影,http://114.254.190.44:8099/rtp/239.3.1.195:9024
IPTV经典电影,http://123.114.30.36:4000/rtp/239.3.1.195:9024
IPTV经典电影,http://114.243.99.254:8888/rtp/239.3.1.195:9024
IPTV经典电影,http://111.196.130.39:8686/rtp/239.3.1.195:9024
IPTV经典电影,http://111.196.134.175:20000/rtp/239.3.1.195:9024
IPTV美人,http://114.254.190.44:8099/rtp/239.3.1.73:4120
IPTV美人,http://123.114.30.36:4000/rtp/239.3.1.73:4120
IPTV美人,http://114.243.99.254:8888/rtp/239.3.1.73:4120
IPTV美人,http://111.196.130.39:8686/rtp/239.3.1.73:4120
IPTV美人,http://111.196.134.175:20000/rtp/239.3.1.73:4120
IPTV美妆,http://114.254.190.44:8099/rtp/239.3.1.72:4120
IPTV美妆,http://123.114.30.36:4000/rtp/239.3.1.72:4120
IPTV美妆,http://114.243.99.254:8888/rtp/239.3.1.72:4120
